State,Coverage,Population Covered,Fiber Providers,Rank
Alabama,12.38%,607947,14,29
Alaska,1.94%,14528,3,48
Arizona,2.91%,199786,12,47
Arkansas,6.56%,197773,8,42
California,15.68%,6062038,14,27
Colorado,9.86%,525700,23,35
Connecticut,44.09%,1600993,7,12
Delaware,55.09%,518752,2,7
Florida,39.37%,7831819,17,15
Georgia,16.87%,1732828,37,25
Hawaii,6.91%,98163,3,41
Idaho,5.39%,90081,17,43
Illinois,14.31%,1858926,38,28
Indiana,46.17%,3065895,25,11
Iowa,30.03%,930829,85,16
Kansas,19.94%,582914,40,22
Kentucky,10.61%,473434,23,32
Louisiana,9.44%,433622,15,37
Maine,1.69%,22720,10,50
Maryland,59.95%,3578702,14,5
Massachusetts,39.39%,2615001,8,14
Michigan,3.2%,315008,21,46
Minnesota,16.52%,901633,53,26
Mississippi,21.5%,648452,13,20
Missouri,8.31%,509912,26,39
Montana,3.4%,34859,11,45
Nebraska,28.07%,526895,32,18
Nevada,9.91%,291308,9,34
New Hampshire,17.06%,228722,11,24
New Jersey,62.57%,5589292,10,3
New Mexico,7.45%,160937,14,40
New York,61.54%,12042982,28,4
North Carolina,9.47%,958111,26,36
North Dakota,59.46%,412087,18,6
Ohio,10.22%,1185374,21,33
Oklahoma,8.47%,329014,23,38
Oregon,76.72%,3065968,44,2
Pennsylvania,50.59%,6515019,22,8
Rhode Island,97.88%,1027958,8,1
South Carolina,20.03%,975317,10,21
South Dakota,40.55%,341439,23,13
Tennessee,24.76%,1636527,19,19
Texas,10.97%,2958351,36,30
Utah,49.48%,1476103,21,9
Vermont,18.64%,117668,8,23
Virginia,47.78%,4001507,13,10
Washington,29.84%,2111779,35,17
West Virginia,1.89%,35405,3,49
Wisconsin,4.94%,287048,33,44
Wyoming,10.89%,64418,8,31