State,Homicides per 100k, Total Homicides
Vermont,0,10
New Hampshire,0,15
Wyoming,0,16
Maine,1.7,20
North Dakota,3.4,24
Hawaii,2.7,39
Rhode Island,3.6,40
Idaho,2.2,41
South Dakota,5.3,45
Montana,4.4,46
Alaska,6.4,49
Nebraska,3.6,70
Utah,2.7,91
Iowa,3.2,94
Delaware,11.3,103
West Virginia,6.9,114
Connecticut,4.8,160
Massachusetts,2.3,160
Kansas,6.4,180
Oregon,4.9,204
Minnesota,4.3,232
Nevada,8.5,264
New Mexico,15.3,306
Arkansas,11.7,335
Oklahoma,8.9,342
Washington,4.5,346
Colorado,6.3,368
Kentucky,9.6,408
New Jersey,4.8,409
Arizona,8.1,562
Virginia,7.2,606
Indiana,9.6,624
Mississippi,23.7,656
South Carolina,13.4,656
Maryland,12.2,709
Missouri,12.4,716
Alabama,15.9,748
Tennessee,12.2,810
Michigan,8.7,822
New York,4.8,918
Louisiana,21.3,943
North Carolina,9.7,991
Ohio,9.3,1020
Pennsylvania,9.2,1101
Georgia,11.4,1206
Florida,7.4,1468
Illinois,12.3,1487
Texas,8.2,2391
California,6.4,2495