State,Average Temperature
Florida,73.4
Louisiana,68.5
Texas,68
Georgia,66.2
Mississippi,66.1
Alabama,65.4
South Carolina,65.4
Arizona,62.9
Arkansas,62.8
Oklahoma,62.8
California,61.7
North Carolina,61.7
Tennessee,60.1
Kentucky,58.1
Delaware,58
Virginia,58
Maryland,57.5
Kansas,57.4
Missouri,57
New Mexico,56.2
New Jersey,56
Illinois,54
Indiana,54
West Virginia,54
Ohio,53.5
Rhode Island,53.5
Nevada,53.4
Connecticut,52.5
Nebraska,52
Massachusetts,51.8
Pennsylvania,51.4
Utah,51.3
Iowa,49.9
Oregon,49.9
Washington,49
New York,48.2
Colorado,47.9
South Dakota,47.9
New Hampshire,46.9
Michigan,46.7
Vermont,45.7
Idaho,45.3
Wisconsin,45
Maine,44.9
Montana,44.6
Wyoming,43.9
Minnesota,42.5
North Dakota,42.4
Alaska,30.7